feature,importance_gain
realized_vol_4h_returns_20,9703.284080505371
atr_ratio_1h,6799.4977951049805
realized_vol_1h,5567.273498535156
adx_4h,5523.57551574707
price_zscore_1h,5384.724899291992
ema_slope_4h,5290.3652992248535
zscore_vs_vwap_4h,5235.697803497314
vol_ratio,4626.775276184082
ema_fast_slow,4138.711219787598
return_4h_14,3406.4887886047363
distance_to_rolling_low_4h,3324.117607116699
distance_to_rolling_high_4h,3260.4173889160156
linear_regression_slope_atr_1h_24,2585.6263999938965
volatility_regime_change_1h,2229.699287414551
return_4h_7,1876.9569053649902
distance_to_support_1h,1793.0853881835938
return_1h_24,1729.8774948120117
linear_regression_slope_atr_1h_12,1572.2125091552734
cross_sectional_rank_4h,1154.9744987487793
return_4h_3,1082.066993713379
price_position_4h,977.6315002441406
price_position_1h,807.2909049987793
return_4h_1,753.8223915100098
volume_ratio_1h_vs_4h,691.5239028930664
return_1h_6,690.4724922180176
