feature,importance_gain
realized_vol_1h,8790.95212173462
ema_slope_4h,3514.3425102233887
ema_fast_slow,3454.704689025879
adx_4h,3454.0390129089355
zscore_vs_vwap_4h,3242.1693725585938
realized_vol_4h_returns_20,3017.271587371826
atr_ratio_1h,2706.525588989258
price_position_4h,2525.7797355651855
vol_ratio,2078.308807373047
distance_to_rolling_low_4h,2074.202796936035
price_zscore_1h,1999.8687171936035
return_4h_14,1877.457992553711
return_4h_3,1651.944190979004
return_1h_24,1651.501407623291
return_4h_7,1598.451904296875
distance_to_rolling_high_4h,1558.3892860412598
linear_regression_slope_atr_1h_12,1338.4270935058594
volatility_regime_change_1h,999.9801025390625
price_position_1h,838.1579971313477
linear_regression_slope_atr_1h_24,815.4546928405762
relative_strength_vs_btc_6h,589.0516967773438
return_1h_3,464.6304016113281
cross_sectional_rank_4h,434.66149139404297
volume_ratio_1h_vs_4h,360.91960525512695
return_1h_12,271.5127983093262
