feature,importance_gain
market_dispersion_return_4h_3,39326.86673736572
ema_fast_slow_x_market_breadth_ema_fast_slow_1h,35014.55869293213
market_breadth_ema_fast_slow_1h_zscore,33109.97652435303
market_breadth_ema_fast_slow_1h,32885.924171447754
market_breadth_pos_return_4h_3,30857.627807617188
realized_vol_4h_returns_20,18873.796096801758
atr_ratio_1h,17638.575244903564
hour_sin_1h,9898.291702270508
is_weekend_1h,9345.798824310303
beta_to_btc_24h,8493.493877410889
ema_fast_slow,7330.444622039795
vol_ratio,4502.25895690918
slope_acceleration_1h_12_24,4251.592205047607
realized_vol_1h,3762.9282035827637
hour_cos_1h,3490.4109115600586
volatility_regime_change_1h,2892.6296730041504
adx_4h,2738.8615188598633
ema_slope_4h,2190.183624267578
distance_to_rolling_high_4h,2187.7367935180664
return_4h_7,2180.710578918457
zscore_vs_vwap_4h,2173.698986053467
distance_to_rolling_low_4h,1912.0786170959473
distance_to_session_high_1h,1785.5936088562012
distance_to_session_low_1h,1677.159896850586
distance_to_resistance_1h,1661.6082077026367
